,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
332,luanda,-8.8368,13.2343,78.8,94,75,3.44,AO,1619412168
333,uige,-7.6087,15.0613,65.86,93,66,2.46,AO,1619412209
334,giyani,-23.3025,30.7187,62.1,77,0,2.84,ZA,1619412209
335,zhangye,38.9342,100.4517,50.68,17,57,7.52,CN,1619412209
336,shawinigan,46.5668,-72.7491,39.2,81,97,16.11,CA,1619412209
337,arawa,-6.2132,155.5367,86.23,67,28,4.47,PG,1619412209
338,waingapu,-9.6567,120.2641,84.87,54,38,13.24,ID,1619412210
339,sterling,39.0062,-77.4286,53.6,58,40,8.05,US,1619411980
340,nyuksenitsa,60.4128,44.2397,39.27,97,100,4.63,RU,1619412210
341,chino,34.0122,-117.6889,57.99,67,40,10.36,US,1619412210
342,verkhnyaya toyma,62.2349,44.9985,39.33,96,99,3.24,RU,1619412210
343,portland,45.5234,-122.6762,52.0,70,97,1.48,US,1619412092
344,yago,21.8333,-105.0667,70.27,75,22,2.28,MX,1619412211
345,kruisfontein,-34.0033,24.7314,65.05,48,100,1.88,ZA,1619412211
346,debre tabor,11.85,38.0167,55.76,69,100,1.23,ET,1619412211
347,charlestown,-32.95,151.6667,69.01,74,24,5.41,AU,1619412211
348,novikovo,51.1537,37.8879,42.33,69,96,4.07,RU,1619412211
349,placerville,38.7296,-120.7986,46.99,100,90,4.61,US,1619412211
350,meulaboh,4.1363,96.1285,86.04,62,89,5.08,ID,1619412212
351,nan,18.8333,100.6667,82.4,74,0,2.3,TH,1619412212
352,soto la marina,23.7667,-98.2167,77.0,89,83,7.0,MX,1619412212
353,hervey bay,-25.2986,152.8535,77.0,60,56,5.01,AU,1619412212
354,namatanai,-3.6667,152.4333,84.13,68,98,4.72,PG,1619412212
355,shingu,33.7333,135.9833,62.6,45,0,18.41,JP,1619412212
356,falmouth,50.1544,-5.0711,46.0,81,40,19.69,GB,1619412213
357,polyarnyy,69.1989,33.4478,32.0,80,40,6.71,RU,1619412213
358,ossora,59.2353,163.0719,33.03,98,98,1.32,RU,1619412213
359,eyl,7.9803,49.8164,84.7,66,82,7.92,SO,1619412213
360,hays,30.0502,-98.0336,70.0,85,78,4.0,US,1619412213
361,sao filipe,14.8961,-24.4956,71.74,71,83,9.4,CV,1619412213
362,ca mau,9.1769,105.15,95.74,41,48,7.76,VN,1619412085
363,mwanza,-2.5167,32.9,68.0,88,75,11.5,TZ,1619412214
364,riyadh,24.6877,46.7219,82.4,100,20,6.91,SA,1619412176
365,chikwawa,-16.0335,34.8009,73.67,77,9,0.51,MW,1619412214
366,roma,43.2128,-75.4557,39.2,65,90,16.11,US,1619412107
